"By province","By age ",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"By province","By age ",Expectation of life at age (Total) (Years),Expectation of life at age (Male) (Years),Expectation of life at age (Female) (Years),Probability of dying (Total),Probability of dying (Male),Probability of dying (Female),Number of people left alive at age (Total) (Person),Number of people left alive at age (Male) (Person),Number of people left alive at age (Female) (Person),Person-years lived between ages (Total) (Person),Person-years lived between ages (Male) (Person),Person-years lived between ages (Female) (Person)
"Gwangju","20",63.6,60.8,66.4,0.00167,0.00184,0.00150,99384,99296,99474,496543,496075,497021
"Gwangju","25",58.7,55.9,61.5,0.00291,0.00356,0.00226,99219,99114,99325,495369,494684,496062
"Gwangju","30",53.9,51.1,56.7,0.00337,0.00329,0.00345,98930,98761,99101,493880,493035,494735
"Gwangju","35",49.1,46.3,51.8,0.00382,0.00513,0.00251,98597,98436,98759,492052,491026,493087
"Gwangju","40",44.2,41.5,47.0,0.00554,0.00736,0.00374,98220,97931,98511,489843,488006,491688
"Gwangju","45",39.5,36.8,42.1,0.00841,0.01121,0.00564,97676,97210,98143,486433,483414,489462
"Gwangju","50",34.8,32.2,37.4,0.01137,0.01486,0.00794,96854,96120,97589,481632,477238,486037
"Gwangju","55",30.2,27.6,32.6,0.01724,0.02549,0.00917,95752,94692,96814,474864,467769,481969
"Gwangju","60",25.6,23.3,27.9,0.02589,0.03992,0.01240,94101,92278,95927,464828,452897,476768
"Gwangju","65",21.3,19.1,23.2,0.03852,0.05653,0.02167,91665,88594,94737,450077,431223,468940
"Gwangju","70",17.0,15.1,18.7,0.06911,0.10208,0.03938,88134,83586,92684,426657,397882,455439
"Gwangju","75",13.1,11.6,14.3,0.11648,0.16107,0.07890,82043,75054,89035,388707,347098,430323
"Gwangju","80",9.4,8.3,10.3,0.23949,0.29724,0.19516,72487,62965,82010,322415,271481,373354
"Gwangju","85",6.5,5.6,7.2,0.42014,0.50279,0.36473,55126,44249,66005,218619,164830,272412
"Gwangju","90",4.4,3.8,4.8,0.62786,0.70726,0.58619,31966,22001,41931,106325,66923,145730
"Gwangju","95",3.0,2.6,3.2,0.80991,0.86633,0.78898,11896,6440,17351,31093,15033,47153
"Gwangju","100",2.1,1.8,2.2,1.00000,1.00000,1.00000,2261,861,3662,4717,1544,7890
"Daejeon","0 ",83.6,81.1,86.1,0.00247,0.00266,0.00227,100000,100000,100000,99799,99777,99823
"Daejeon","1",82.8,80.3,85.3,0.00068,0.00116,0.00020,99753,99734,99773,398837,398611,399069
"Daejeon","5",78.9,76.4,81.4,0.00051,0.00040,0.00062,99685,99618,99753,498290,497975,498613
"Daejeon","10",73.9,71.4,76.4,0.00068,0.00070,0.00065,99634,99578,99691,498010,497743,498284
"Daejeon","15",68.9,66.4,71.5,0.00151,0.00111,0.00192,99566,99507,99626,497482,497282,497689
"Daejeon","20",64.0,61.5,66.6,0.00208,0.00240,0.00177,99415,99397,99435,496571,496412,496738
"Daejeon","25",59.2,56.7,61.7,0.00253,0.00309,0.00198,99208,99158,99259,495442,495031,495860
"Daejeon","30",54.3,51.8,56.8,0.00276,0.00308,0.00244,98956,98852,99063,494122,493504,494747
"Daejeon","35",49.5,47.0,51.9,0.00414,0.00380,0.00448,98683,98547,98821,492533,491943,493129
"Daejeon","40",44.7,42.1,47.2,0.00542,0.00628,0.00456,98275,98172,98378,490009,489420,490605
"Daejeon","45",39.9,37.4,42.4,0.00777,0.01014,0.00541,97742,97556,97930,486891,485356,488433
"Daejeon","50",35.2,32.7,37.6,0.01077,0.01516,0.00643,96982,96566,97400,482493,479464,485527
"Daejeon","55",30.5,28.2,32.8,0.01586,0.02283,0.00901,95938,95103,96774,476054,470337,481777
"Daejeon","60",26.0,23.8,28.1,0.02361,0.03376,0.01378,94416,92932,95902,466976,457472,476486
"Daejeon","65",21.5,19.5,23.4,0.03657,0.05196,0.02196,92187,89795,94581,453238,438230,468251
"Daejeon","70",17.3,15.5,18.9,0.06792,0.09438,0.04358,88816,85129,92504,430203,407191,453221
"Daejeon","75",13.3,11.8,14.7,0.12014,0.15599,0.08890,82783,77095,88472,391499,357671,425333
"Daejeon","80",9.8,8.5,10.8,0.23147,0.29098,0.18343,72838,65069,80607,324523,280258,368793
"Daejeon","85",6.9,5.9,7.6,0.39487,0.47857,0.33620,55978,46135,65822,225788,175075,276504
"Daejeon","90",4.8,4.0,5.2,0.59480,0.68032,0.54771,33874,24056,43693,116239,75482,156996
"Daejeon","95",3.3,2.7,3.5,0.77672,0.84380,0.75062,13726,7690,19762,37779,18809,56750
"Daejeon","100",2.3,1.9,2.4,1.00000,1.00000,1.00000,3065,1201,4928,7048,2320,11776
"Ulsan","0 ",82.9,80.4,85.5,0.00234,0.00271,0.00196,100000,100000,100000,99810,99773,99847
"Ulsan","1",82.1,79.6,84.6,0.00126,0.00136,0.00116,99766,99729,99804,398726,398570,398883
"Ulsan","5",78.2,75.7,80.7,0.00059,0.00059,0.00059,99641,99594,99688,498101,497884,498320
"Ulsan","10",73.2,70.7,75.8,0.00067,0.00071,0.00064,99582,99536,99629,497750,497496,498007
"Ulsan","15",68.3,65.8,70.8,0.00166,0.00177,0.00156,99515,99465,99565,497227,496960,497497
"Ulsan","20",63.4,60.9,65.9,0.00239,0.00305,0.00173,99349,99289,99410,496164,495718,496612
"Ulsan","25",58.6,56.1,61.0,0.00230,0.00321,0.00140,99112,98987,99238,495014,494227,495804
"Ulsan","30",53.7,51.2,56.1,0.00314,0.00385,0.00242,98884,98669,99099,493604,492292,494918
"Ulsan","35",48.8,46.4,51.2,0.00314,0.00341,0.00287,98574,98289,98859,492267,490817,493719
"Ulsan","40",44.0,41.6,46.4,0.00593,0.00715,0.00472,98265,97954,98576,489932,488132,491734
"Ulsan","45",39.2,36.9,41.6,0.00863,0.01105,0.00623,97682,97254,98111,486460,483733,489189
"Ulsan","50",34.6,32.2,36.8,0.01184,0.01627,0.00748,96839,96180,97500,481501,477264,485741
"Ulsan","55",29.9,27.7,32.1,0.01587,0.02282,0.00906,95693,94615,96771,474855,468056,481657
"Ulsan","60",25.4,23.3,27.4,0.02460,0.03632,0.01331,94174,92456,95894,465545,454446,476646
"Ulsan","65",20.9,19.1,22.7,0.03521,0.05178,0.01960,91857,89097,94618,451655,434861,468451
"Ulsan","70",16.6,15.0,18.1,0.06482,0.09298,0.03917,88623,84484,92763,430384,404956,455814
"Ulsan","75",12.6,11.2,13.7,0.12708,0.17023,0.08998,82879,76629,89129,390670,352731,428611
"Ulsan","80",9.0,8.0,9.8,0.25663,0.32023,0.20676,72347,63585,81109,318329,268683,367976
"Ulsan","85",6.2,5.6,6.6,0.44536,0.50817,0.40317,53781,43223,64339,209678,160329,259028
"Ulsan","90",4.1,3.7,4.3,0.66339,0.71313,0.63585,29829,21258,38399,95791,64210,127374
"Ulsan","95",2.7,2.5,2.8,0.84582,0.87107,0.83481,10041,6098,13983,24637,14084,35190
"Ulsan","100",1.9,1.8,1.9,1.00000,1.00000,1.00000,1548,786,2310,2870,1387,4353
"Sejong","0 ",83.7,81.3,86.2,0.00247,0.00272,0.00221,100000,100000,100000,99800,99772,99828
"Sejong","1",82.9,80.5,85.4,0.00016,0.00007,0.00026,99753,99728,99779,398979,398895,399068
"Sejong","5",78.9,76.5,81.4,0.00012,0.00005,0.00019,99737,99721,99754,498647,498592,498709
"Sejong","10",73.9,71.5,76.4,0.00054,0.00016,0.00091,99725,99716,99735,498547,498555,498545
